userID,songID,rating,songName,year,artist,genre
2102,13,1.494917871414299,Such Great Heights,2003,The Postal Service,Electronic
1350,320,1,The Shrew,2009,Beirut,Folk
947,7,1.494917871414299,Halo,2008,Beyonce,Pop
175,558,1.9898357428285987,The Middle,2001,Jimmy Eat World,Rock
1984,445,1.494917871414299,Daddy,2003,Beyonce,RnB
2213,168,1,Already Gone,2009,Kelly Clarkson,Pop
261,126,1.494917871414299,(You Drive Me) Crazy (The Stop Remix!),1999,Britney Spears,Pop
1751,62,1,Star Bodies,2005,The New Pornographers,Rock
547,367,1,Holy Roller Novocaine,2003,Kings Of Leon,Rock
1929,79,1,Love In 2 Parts,2000,Erin McKeown,Folk
1982,406,1.494917871414299,Two Headed Boy,2009,Neutral Milk Hotel,Rock
771,240,1.494917871414299,Twilight Galaxy,2009,Metric,Rock
1645,419,1.494917871414299,The Last Song,2009,Rihanna,RnB
948,65,1,Stronger,2007,Kanye West,Rap
1549,540,1.494917871414299,If It Means A Lot To You,2009,A Day To Remember,Rock
308,761,1.494917871414299,Cosmic Love,2009,Florence + The Machine,Rock
1350,431,1,The Wrestle,2010,Frightened Rabbit,Rock
2411,348,2.279344138542698,GNG BNG,2008,Flying Lotus,Electronic
2232,736,1.7844262671283984,I Gotta Feeling,2009,Black Eyed Peas,Pop
2027,328,1.494917871414299,Eyelash Wishes,2005,The All-American Rejects,Rock
548,41,1,The Ballad of Michael Valentine,2004,The Killers,Rock
2184,454,1,Trunk,2007,Kings Of Leon,Rock
1596,357,1,Back To Me,2008,The All-American Rejects,Rock
669,463,1.494917871414299,Again & Again,2006,the bird and the bee,Rock
32,80,1.494917871414299,Tim McGraw,2006,Taylor Swift,Country
2396,671,1,The Way Things Go,2002,Octopus Project,Rock
110,617,2.149163710298719,Skinny Love,2007,Bon Iver,Rock
1329,299,1,Gardenhead / Leave Me Alone,1992,Neutral Milk Hotel,Rock
1020,185,2.279344138542698,Yes,2003,Beyonce,RnB
340,651,1,Toxic,2003,Britney Spears,Pop
718,254,1,Execution Day,2000,The New Pornographers,Rock
276,142,1.494917871414299,Mirror Song,1991,Live,Rock
1807,342,1,Do You Remember,2005,Jack Johnson,Rock
2147,583,1,Sing Me Spanish Techno,2005,The New Pornographers,Rock
2321,54,2.484753614242898,You're The One,1990,Dwight Yoakam,Country
1716,663,1.494917871414299,Tighten Up,2010,The Black Keys,Electronic
523,563,1.7844262671283984,Chinese,2009,Lily Allen,Pop
957,154,3.0229584088766637,Ghosts 'n' Stuff (Original Instrumental Mix),2009,Deadmau5,Electronic
1490,224,1,Vanilla Twilight,2009,Owl City,Pop
181,743,1,The Stars of Track and Field,1996,Belle and Sebastian,Rock
1204,659,1,Can't Take It,2005,The All-American Rejects,Rock
1923,558,1,The Middle,2001,Jimmy Eat World,Rock
1979,322,1,Sic Of Elephants,2007,Andrew Bird,Rock
2120,540,1,If It Means A Lot To You,2009,A Day To Remember,Rock
1398,35,1,Imma Be,2009,Black Eyed Peas,Rap
874,723,1,Two Steps_ Twice,2008,Foals,Rock
926,305,1.494917871414299,The Penalty,2007,Beirut,Folk
812,331,1,Still On My Brain,2002,Justin Timberlake,RnB
1530,25,1,Seven Nation Army,2003,The White Stripes,Rock
89,361,1.494917871414299,Kryptonite,1997,3 Doors Down,Rock
484,661,1.494917871414299,Your Star,2003,The All-American Rejects,Rock
1832,361,2.568852534256797,Kryptonite,1997,3 Doors Down,Rock
1596,177,1,Top Of The World,2005,The All-American Rejects,Rock
1527,522,1,Porno Disaster,2002,Octopus Project,Rock
174,385,1,Blackbirds,2000,Erin McKeown,Folk
704,670,1,I GOT THIS DOWN,2007,Simian Mobile Disco,Electronic
398,113,1.494917871414299,Hustler,2006,Simian Mobile Disco,Electronic
1176,137,1.7844262671283984,Hotel California,1976,Eagles,Rock
841,84,1.494917871414299,Latin America,2010,Holy Fuck,Electronic
633,263,1,That Should Be Me,2010,Justin Bieber,Pop
2417,706,1,Without Me,2002,Eminem,Rap
495,251,1.494917871414299,Love The Way You Love Me,2008,The Pussycat Dolls,Pop
2356,404,1,Rabbit Habits,2008,Man Man,Rock
627,180,1.7844262671283984,Kids Of The Future,2007,Jonas Brothers,Pop
2264,480,1,G4L,2009,Rihanna,RnB
1363,617,1,Skinny Love,2007,Bon Iver,Rock
627,739,1,Who's Real,2009,Jadakiss / Swizz Beatz / OJ Da Juiceman,Rap
626,54,1.9898357428285987,You're The One,1990,Dwight Yoakam,Country
2275,753,1,Bitter Sweet Symphony,1997,The Verve,Pop
1697,390,1,Horchata,2009,Vampire Weekend,Rock
1087,454,1,Trunk,2007,Kings Of Leon,Rock
1421,145,1.7844262671283984,Tribulations,2005,LCD Soundsystem,Electronic
1944,252,1,Lifespan Of A Fly,2009,the bird and the bee,Pop
1165,562,1.7844262671283984,Alejandro,2009,Lady GaGa,Pop
1490,90,1.494917871414299,Witch,2009,the bird and the bee,Rock
492,419,1,The Last Song,2009,Rihanna,RnB
2151,97,1,My Happy Ending,2004,Avril Lavigne,Pop
8,321,2.389410122329216,What's In The Middle,2009,the bird and the bee,Rock
976,99,1,A Million Miles Away,2006,Rihanna,RnB
1512,204,2.484753614242898,U Smile,2010,Justin Bieber,Pop
1198,100,1,Learn To Fly,1999,Foo Fighters,Rock
51,648,1.7844262671283984,Gold Guns Girls,2009,Metric,Rock
820,30,1,Losing Touch,2008,The Killers,Rock
225,385,1,Blackbirds,2000,Erin McKeown,Folk
317,192,1,Far Away (Album Version),2006,Nickelback,Rock
538,426,2.389410122329216,Float On,2003,Modest Mouse,Rock
1708,727,1,Human,2008,The Killers,Rock
1278,603,1,Birthday,2008,the bird and the bee,Pop
1163,722,1,April 8th,1996,Neutral Milk Hotel,Rock
391,109,2.279344138542698,Sour Cherry,2008,The Kills,Rock
2344,599,1,I Wanna Be Your Joey Ramone,1996,Sleater-kinney,Rock
23,529,1.7844262671283984,Cemeteries Of London,2008,Coldplay,Rock
1953,74,1,The Wind Blows,2008,The All-American Rejects,Pop
1786,144,1,One I Love,2002,Coldplay,Rock
1905,698,1.7844262671283984,Use Somebody,2008,Kings Of Leon,Rock
866,326,2.568852534256797,Poster Of A Girl,2005,Metric,Rock
1833,100,1,Learn To Fly,1999,Foo Fighters,Rock
355,503,1,In The End (Album Version),2000,Linkin Park,Rock
612,458,1.494917871414299,We Are The Sleepyheads,2006,Belle & Sebastian,Rock
1228,677,1,I Can't Stay,2008,The Killers,Rock
1252,807,2.484753614242898,Watch The Tapes,2007,LCD Soundsystem,Electronic
2027,737,1.7844262671283984,'Round Midnight,2004,Amy Winehouse,RnB
2005,299,1,Gardenhead / Leave Me Alone,1992,Neutral Milk Hotel,Rock
2234,600,1.494917871414299,Revelry,2008,Kings Of Leon,Rock
241,462,1,Rabbit Heart (Raise It Up),2009,Florence + The Machine,Rock
367,418,1,Happy Endings,2003,The All-American Rejects,Rock
112,232,1,Tuesday Moon,1993,Neutral Milk Hotel,Rock
2091,380,1,Twin Cinema,2005,The New Pornographers,Rock
2199,463,1.7844262671283984,Again & Again,2006,the bird and the bee,Rock
707,216,1,Unforgettable Season,2008,Cut Copy,Electronic
2141,411,1.7844262671283984,Seal Jubilee,2006,Bat For Lashes,Rock
2394,341,1,To Wild Homes,2000,The New Pornographers,Rock
714,663,1.7844262671283984,Tighten Up,2010,The Black Keys,Electronic
127,124,1.494917871414299,Fast As I Can,2000,Erin McKeown,Folk
928,351,1.494917871414299,Mister Jung Stuffed,2008,Man Man,Rock
1482,792,1,Favorite Girl,2009,Justin Bieber,Pop
216,656,1,Late,2005,Kanye West,Rap
1845,157,1,Big Green Tractor,2009,Jason Aldean,Country
502,606,2.149163710298719,Six Feet Up,2005,Octopus Project,Rock
1273,663,1.494917871414299,Tighten Up,2010,The Black Keys,Electronic
2320,473,1,Hailie's Song,2002,Eminem,Rap
472,286,1.7844262671283984,Who Let You Go?,2007,The Killers,Rock
978,412,1.494917871414299,There Goes My Baby,2010,Usher,RnB
1116,654,1,Unguided,2007,The New Pornographers,Rock
21,467,1,I Will Follow You into the Dark (Album Version),2005,Death Cab for Cutie,Rock
